Meter,Days Connected,Days Disconnected
00100832,,2016-02-29
00100832,,2016-03-01
00100832,,2016-03-02
00100832,,2016-03-03
00100832,,2016-03-04
00100832,,2016-03-05
00100832,,2016-03-06
00100868,,2016-02-10
00100868,,2016-02-11
00100868,,2016-02-12
00100868,,2016-02-13
00100868,,2016-02-14
00100868,,2016-02-15
00100868,,2016-02-16
00100868,,2016-02-17
00100868,,2016-02-18
00100868,,2016-02-19
00100868,,2016-02-20
00100868,,2016-02-21
00100868,,2016-02-22
00100868,,2016-02-23
00100868,,2016-02-24
00100868,,2016-02-25
00100868,,2016-02-26
00100868,,2016-02-27
00100868,,2016-02-28
00100868,,2016-02-29
00100868,,2016-03-01
00100868,,2016-03-02
00100868,,2016-03-03
00100868,,2016-03-04
00100868,,2016-03-05
00100868,,2016-03-06
00100868,,2016-03-07
00100868,,2016-03-08
00100868,,2016-03-09
001008E7,,2016-02-12
001008E7,,2016-02-13
001008E7,,2016-02-14
001008E7,,2016-02-15
001008E7,,2016-02-16
001008E7,,2016-02-17
001008E7,,2016-02-18
001008E7,,2016-02-19
001008E7,,2016-02-20
001008E7,,2016-02-21
001008E7,,2016-02-22
001008E7,,2016-02-23
001008E7,,2016-02-24
001008E7,,2016-02-25
001008E7,,2016-02-26
001008E7,,2016-02-27
001008E7,,2016-02-28
001008E7,,2016-02-29
001008E7,,2016-03-01
001008E7,,2016-03-02
001008E7,,2016-03-03
001008E7,,2016-03-04
001008E7,,2016-03-05
001008E7,,2016-03-06
001008E7,,2016-03-07
001008F9,2016-02-28,2016-02-13
001008F9,,2016-02-14
001008F9,,2016-02-15
001008F9,,2016-02-16
001008F9,,2016-02-17
001008F9,,2016-02-18
001008F9,,2016-02-19
001008F9,,2016-02-20
001008F9,,2016-02-21
001008F9,,2016-02-22
001008F9,,2016-02-23
001008F9,,2016-02-24
001008F9,,2016-02-25
001008F9,,2016-02-26
001008F9,,2016-02-27
001008F9,,2016-02-29
001008F9,,2016-03-01
001008F9,,2016-03-02
001008F9,,2016-03-03
001008F9,,2016-03-04
001008F9,,2016-03-05
001008F9,,2016-03-06
001008F9,,2016-03-07
001008F9,,2016-03-08
00100923,,2016-02-10
00100923,,2016-02-11
00100923,,2016-02-12
00100923,,2016-02-13
00100923,,2016-02-14
00100923,,2016-02-15
00100923,,2016-02-16
00100923,,2016-02-17
00100923,,2016-02-18
00100923,,2016-02-19
00100923,,2016-02-20
00100923,,2016-02-21
00100923,,2016-02-22
00100923,,2016-02-23
00100923,,2016-02-24
00100923,,2016-02-25
00100923,,2016-02-26
00100923,,2016-02-27
00100923,,2016-02-28
00100923,,2016-02-29
00100923,,2016-03-01
00100923,,2016-03-02
00100923,,2016-03-03
00100923,,2016-03-04
00100923,,2016-03-05
00100923,,2016-03-06
00100923,,2016-03-07
00100923,,2016-03-08
00100923,,2016-03-09
00100933,,2016-02-09
00100933,,2016-02-10
00100933,,2016-02-11
00100933,,2016-02-12
00100933,,2016-02-13
00100933,,2016-02-14
00100933,,2016-02-15
00100933,,2016-02-16
00100933,,2016-02-17
00100933,,2016-02-18
00100933,,2016-02-19
00100933,,2016-02-20
00100933,,2016-02-21
00100933,,2016-02-22
00100933,,2016-02-23
00100933,,2016-02-24
00100933,,2016-02-25
00100933,,2016-02-26
00100933,,2016-02-27
00100933,,2016-02-28
00100933,,2016-02-29
00100933,,2016-03-01
00100933,,2016-03-02
00100939,,2016-02-11
00100939,,2016-02-12
00100939,,2016-02-13
00100939,,2016-02-14
00100939,,2016-02-15
00100939,,2016-02-16
00100939,,2016-02-17
00100939,,2016-02-18
00100939,,2016-02-19
00100939,,2016-02-20
00100939,,2016-02-21
00100939,,2016-02-22
00100939,,2016-02-23
00100939,,2016-02-24
00100939,,2016-02-25
00100939,,2016-02-26
00100939,,2016-02-27
00100939,,2016-02-28
00100939,,2016-02-29
00100939,,2016-03-01
00100939,,2016-03-02
00100939,,2016-03-03
00100939,,2016-03-04
00100939,,2016-03-05
00100939,,2016-03-06
00100939,,2016-03-07
00100939,,2016-03-08
00100939,,2016-03-09
00100972,,2016-02-15
00100972,,2016-02-16
00100972,,2016-02-17
00100972,,2016-02-18
00100972,,2016-02-19
00100972,,2016-02-20
00100972,,2016-02-21
00100972,,2016-02-22
00100972,,2016-02-23
00100972,,2016-02-24
00100972,,2016-02-25
00100972,,2016-02-26
00100972,,2016-02-27
00100972,,2016-02-28
00100972,,2016-02-29
00100972,,2016-03-01
0010098B,,2016-02-09
0010098B,,2016-02-10
0010098B,,2016-02-11
0010098B,,2016-02-12
0010098B,,2016-02-13
0010098B,,2016-02-14
0010098B,,2016-02-15
0010098B,,2016-02-16
0010098B,,2016-02-17
0010098B,,2016-02-18
0010098B,,2016-02-19
0010098B,,2016-02-20
0010098B,,2016-02-21
0010098B,,2016-02-22
0010098B,,2016-02-23
0010098B,,2016-02-24
0010098B,,2016-02-25
0010098B,,2016-02-26
0010098B,,2016-02-27
0010098B,,2016-02-28
0010098B,,2016-02-29
0010098B,,2016-03-01
0010098B,,2016-03-02
0010098B,,2016-03-03
0010098B,,2016-03-04
0010098B,,2016-03-05
0010098B,,2016-03-06
0010098B,,2016-03-07
0010098B,,2016-03-08
0010099F,,2016-02-09
0010099F,,2016-02-10
0010099F,,2016-02-11
0010099F,,2016-02-12
0010099F,,2016-02-13
0010099F,,2016-02-14
0010099F,,2016-02-15
0010099F,,2016-02-16
0010099F,,2016-02-17
0010099F,,2016-02-18
0010099F,,2016-02-19
0010099F,,2016-02-20
0010099F,,2016-02-21
0010099F,,2016-02-22
0010099F,,2016-02-23
0010099F,,2016-02-24
0010099F,,2016-02-25
0010099F,,2016-02-26
0010099F,,2016-02-27
0010099F,,2016-02-28
0010099F,,2016-02-29
0010099F,,2016-03-01
0010099F,,2016-03-02
0010099F,,2016-03-03
0010099F,,2016-03-04
0010099F,,2016-03-05
0010099F,,2016-03-06
0010099F,,2016-03-07
0010099F,,2016-03-08
00100A28,2016-02-10,2016-02-12
00100A28,2016-02-11,2016-02-13
00100A28,2016-02-23,2016-02-14
00100A28,,2016-02-15
00100A28,,2016-02-16
00100A28,,2016-02-17
00100A28,,2016-02-18
00100A28,,2016-02-19
00100A28,,2016-02-20
00100A28,,2016-02-21
00100A28,,2016-02-22
00100A28,,2016-02-24
00100A28,,2016-02-25
00100AA9,,2016-02-18
00100AA9,,2016-02-19
00100AA9,,2016-02-20
00100AA9,,2016-02-21
00100AA9,,2016-02-22
00100AA9,,2016-02-23
00100AA9,,2016-02-24
00100AA9,,2016-02-25
00100AA9,,2016-02-26
00100AA9,,2016-02-27
00100AA9,,2016-02-28
00100AA9,,2016-02-29
00100AA9,,2016-03-01
00100AA9,,2016-03-02
00100ABE,,2016-02-09
00100ABE,,2016-02-10
00100ABE,,2016-02-11
00100ABE,,2016-02-12
00100ABE,,2016-02-13
00100ABE,,2016-02-14
00100ABE,,2016-02-15
00100ABE,,2016-02-16
00100ABE,,2016-02-17
00100ABE,,2016-02-18
00100ABE,,2016-02-19
00100ABE,,2016-02-20
00100ABE,,2016-02-21
00100ABE,,2016-02-22
00100ABE,,2016-02-23
00100ABE,,2016-02-24
00100ABE,,2016-02-25
00100ABE,,2016-02-26
00100ABE,,2016-02-27
00100ABE,,2016-02-28
00100ABE,,2016-02-29
00100ABE,,2016-03-01
00100ABE,,2016-03-02
00100ABE,,2016-03-03
00100ABE,,2016-03-04
00100ABE,,2016-03-05
00100ABE,,2016-03-06
00100ABE,,2016-03-07
00100ABE,,2016-03-08
00100AD0,,2016-02-11
00100AD0,,2016-02-12
00100AD0,,2016-02-13
00100AD0,,2016-02-14
00100AD0,,2016-02-15
00100AD0,,2016-02-16
00100AD0,,2016-02-17
00100AD0,,2016-02-18
00100AD0,,2016-02-19
00100AD0,,2016-02-20
00100AD0,,2016-02-21
00100AD0,,2016-02-22
00100AD0,,2016-02-23
00100AD0,,2016-02-24
00100AD0,,2016-02-25
00100AD0,,2016-02-26
00100AD0,,2016-02-27
00100AD0,,2016-02-28
00100AD0,,2016-02-29
00100AD0,,2016-03-01
00100AD0,,2016-03-02
00100AD0,,2016-03-03
00100AD0,,2016-03-04
00100ADE,,2016-02-09
00100ADE,,2016-02-10
00100ADE,,2016-02-11
00100ADE,,2016-02-12
00100ADE,,2016-02-13
00100ADE,,2016-02-14
00100ADE,,2016-02-15
00100ADE,,2016-02-16
00100ADE,,2016-02-17
